Date,Close,High,Low,Open
1/21/2009,1321.401489,1334.858972,1311.336818,1326.626261
1/22/2009,1327.271484,1336.730102,1314.688965,1332.277272
1/23/2009,1315.533691,1321.376481,1307.476999,1321.376481
1/27/2009,1336.578979,1340.8918,1320.091584,1320.091584
1/28/2009,1321.399536,1339.88673,1320.739528,1339.88673
1/29/2009,1324.598511,1336.576072,1319.611644,1333.569109
1/30/2009,1332.615112,1332.615112,1315.190742,1324.47041
2/2/2009,1310.591919,1329.963235,1297.973514,1329.963235
2/3/2009,1304.280273,1313.437876,1300.021406,1311.147926
2/4/2009,1320.311523,1320.311523,1307.591927,1311.830775
2/5/2009,1328.023193,1331.45409,1318.735591,1319.46359
2/6/2009,1350.588379,1351.861279,1336.465882,1337.526876
2/9/2009,1342.173584,1360.890871,1332.227073,1360.890871
2/10/2009,1332.077148,1342.216768,1326.61032,1342.216768
2/11/2009,1324.772461,1327.343406,1301.985383,1327.343406
2/12/2009,1325.369507,1325.594474,1315.333886,1322.049568
2/13/2009,1338.689819,1342.708706,1325.510401,1326.822361
2/16/2009,1341.949707,1346.112631,1336.46701,1338.753909
2/17/2009,1317.98877,1338.766892,1311.41798,1338.766892
2/18/2009,1330.558105,1331.58309,1304.29912,1312.426854
2/19/2009,1323.644531,1330.763151,1313.67385,1330.763151
2/20/2009,1296.891602,1320.570613,1291.359834,1320.570613
2/23/2009,1312.387939,1312.387939,1294.328705,1298.235536
2/24/2009,1295.818604,1305.649154,1286.675893,1305.649154
2/25/2009,1300.057495,1312.291028,1290.116842,1301.033409
2/26/2009,1290.270874,1303.70126,1281.721158,1303.70126
2/27/2009,1285.425903,1293.900671,1281.025074,1292.231669
3/2/2009,1256.060059,1285.425858,1252.822148,1285.425858
3/3/2009,1264.766724,1270.902471,1244.819503,1256.060032
3/4/2009,1289.329834,1289.749862,1261.452867,1264.766825
3/5/2009,1288.023926,1300.153459,1282.171126,1289.329905
3/6/2009,1286.642944,1290.569794,1278.812316,1288.023872
3/10/2009,1300.164429,1300.490466,1282.582104,1286.642982
3/11/2009,1314.467896,1319.458668,1300.164375,1300.164375
3/12/2009,1310.363037,1318.10175,1305.204302,1314.46798
3/13/2009,1327.385498,1333.164204,1310.363087,1310.363087
3/16/2009,1324.795532,1340.942854,1322.429535,1327.385397
3/17/2009,1312.041016,1326.055485,1308.34011,1324.795524
3/18/2009,1322.785522,1324.033399,1312.040946,1312.040946
3/19/2009,1341.550781,1347.063506,1322.785521,1322.785521
3/20/2009,1360.83606,1364.251942,1341.098791,1341.5508
3/23/2009,1406.592285,1407.537317,1360.83613,1360.83613
3/24/2009,1436.060059,1449.893504,1406.592212,1406.592212
3/25/2009,1419.917847,1448.412711,1418.203924,1436.060164
3/27/2009,1462.687988,1467.466855,1419.917683,1419.917683
3/30/2009,1419.036865,1463.532083,1404.321373,1462.688122
3/31/2009,1434.018066,1453.71432,1417.283733,1419.036717
4/1/2009,1461.69104,1464.335834,1434.018047,1434.018047
4/2/2009,1499.674561,1499.93749,1461.691056,1461.691056
4/3/2009,1500.30249,1511.276062,1494.062743,1499.674585
4/6/2009,1516.582031,1527.120684,1500.302635,1500.302635
4/7/2009,1490.79895,1516.581881,1483.664219,1516.581881
4/8/2009,1465.692993,1491.052969,1459.982156,1490.799072
4/13/2009,1540.342896,1540.45898,1465.692852,1465.692852
4/14/2009,1570.199829,1573.33374,1536.60812,1540.34296
4/15/2009,1593.60083,1603.248525,1564.883932,1570.199765
4/16/2009,1625.023804,1641.740072,1593.600954,1593.600954
4/17/2009,1634.726318,1659.277363,1619.276847,1625.023694
4/20/2009,1661.780273,1661.780273,1618.817957,1634.726395
4/22/2009,1615.169189,1674.85278,1610.401309,1628.785603
4/23/2009,1592.637817,1615.187963,1585.862081,1615.169043
4/24/2009,1591.27417,1609.903328,1576.22373,1592.638008
4/27/2009,1576.019775,1598.893886,1574.164745,1591.274187
4/28/2009,1595.852905,1617.999016,1576.019693,1576.019693
4/29/2009,1644.121094,1648.566844,1595.852952,1595.852952
4/30/2009,1722.698975,1727.998817,1644.121099,1644.121099
5/1/2009,1729.514771,1738.641369,1701.927831,1722.698996
5/4/2009,1788.077515,1796.643222,1729.514848,1729.514848
5/5/2009,1772.000977,1823.310015,1759.415529,1788.077377
5/6/2009,1798.266113,1799.554027,1761.041487,1772.001022
5/7/2009,1828.780884,1840.404333,1798.26608,1798.26608
5/8/2009,1862.459473,1863.555499,1821.071069,1828.780852
5/11/2009,1830.669678,1891.695377,1827.090838,1862.459455
5/12/2009,1841.950317,1842.654269,1796.875045,1830.66975
5/13/2009,1851.26001,1871.744198,1834.23162,1841.950313
5/14/2009,1784.933594,1851.259992,1776.871896,1851.259992
5/15/2009,1750.845825,1820.784144,1708.318549,1784.93361
5/18/2009,1803.497803,1804.800731,1712.571288,1750.424917
5/19/2009,1885.942505,1888.14945,1805.360684,1805.360684
5/20/2009,1885.64856,1907.42066,1872.186072,1886.149517
5/22/2009,1881.635864,1889.806567,1858.009829,1885.338723
5/25/2009,1890.897339,1897.975066,1878.577872,1881.325812
5/26/2009,1857.513672,1905.834787,1851.951877,1891.104282
5/27/2009,1892.769409,1902.005012,1858.341671,1858.341671
5/28/2009,1902.80188,1904.541802,1878.392796,1892.665312
5/29/2009,1916.75647,1941.711431,1903.111981,1903.111981
6/1/2009,1998.502197,1998.502197,1917.378401,1917.378401
6/2/2009,1998.565186,2043.868477,1991.887467,1999.123269
6/3/2009,2010.835693,2027.613117,1993.003502,1999.083221
6/4/2009,2032.636841,2032.973864,1989.713584,2010.731809
6/5/2009,2078.849854,2078.849854,2032.946736,2032.946736
6/8/2009,2056.566895,2098.998348,2051.947201,2079.690994
6/9/2009,2093.212646,2096.848492,2056.945989,2056.987003
6/10/2009,2108.731934,2116.083698,2094.05355,2094.05355
6/11/2009,2089.503662,2112.757884,2077.373275,2108.418942
6/12/2009,2090.861816,2106.894152,2073.2563,2089.710738
6/15/2009,2069.794678,2100.689475,2060.540154,2090.654952
6/16/2009,2030.286865,2069.380313,1995.488294,2069.380313
6/17/2009,2024.886108,2034.240725,2009.354731,2029.872975
6/18/2009,1950.911011,2025.045084,1940.24834,2024.57208
6/19/2009,1990.394531,1993.164321,1922.787179,1951.751017
6/22/2009,1974.950195,2011.621743,1965.311532,1990.601564
6/23/2009,1914.310425,1973.916135,1888.747456,1973.916135
6/24/2009,1995.596313,1995.596313,1913.890508,1913.890508
6/25/2009,2044.091431,2045.588321,1996.009318,1996.009318
6/26/2009,2040.113647,2066.23458,2026.659215,2044.298543
6/29/2009,2033.636841,2049.771345,2021.283439,2040.379621
6/30/2009,2026.701172,2060.64492,2020.613396,2034.897874
7/1/2009,2059.803711,2059.810791,2023.769105,2026.804998
7/2/2009,2065.672607,2085.371793,2056.67491,2060.009986
7/3/2009,2075.221191,2077.971084,2039.001655,2065.465468
7/6/2009,2034.930786,2074.801304,2023.896182,2074.801304
7/7/2009,2083.166016,2083.166016,2034.805837,2034.805837
7/9/2009,2083.893066,2116.776553,2060.400816,2083.371846
7/10/2009,2063.013672,2090.500639,2058.241885,2084.73182
7/13/2009,2020.060425,2063.871586,1992.301495,2062.59478
7/14/2009,2056.499023,2059.756709,2020.560359,2020.560359
7/15/2009,2123.195557,2123.375481,2056.912,2056.912
7/16/2009,2117.867432,2154.792995,2112.850781,2123.711198
7/17/2009,2106.270996,2126.424264,2060.536693,2117.042549
7/21/2009,2146.470459,2157.409975,2106.992991,2106.992991
7/22/2009,2125.532471,2156.331324,2119.431633,2146.780669
7/23/2009,2160.632813,2162.663739,2125.635153,2125.635153
7/24/2009,2185.569092,2199.138633,2161.045875,2161.045875
7/27/2009,2209.014893,2213.533759,2185.987715,2185.987715
7/28/2009,2237.017822,2240.55162,2201.105159,2209.433936
7/29/2009,2225.725586,2241.546017,2190.324861,2236.81207
7/30/2009,2298.045654,2298.680639,2218.341722,2224.469414
7/31/2009,2323.145508,2332.671992,2298.560285,2298.560285
8/3/2009,2338.706055,2350.584498,2323.763521,2323.763521
8/4/2009,2360.002197,2382.003295,2338.911953,2338.911953
8/5/2009,2316.9729,2362.674248,2308.544273,2360.421162
8/6/2009,2359.885254,2359.954099,2309.898185,2317.282907
8/7/2009,2349.041504,2366.864784,2333.648061,2359.472006
8/10/2009,2389.469238,2394.228087,2349.660725,2349.660725
8/11/2009,2399.182373,2404.641389,2370.589493,2389.365861
8/12/2009,2347.266602,2399.079772,2326.723455,2399.079772
8/13/2009,2396.396484,2408.790044,2347.885438,2347.885438
8/14/2009,2386.772217,2411.805179,2369.99699,2397.531808
